[2024-08-16T18:07:59.979052Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Initiating pyFlow run
[2024-08-16T18:07:59.981005Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] pyFlowClientWorkflowClass: StrelkaSomaticWorkflow
[2024-08-16T18:07:59.981794Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] pyFlowVersion: 1.1.20
[2024-08-16T18:07:59.982553Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] pythonVersion: 2.7.12.final.0
[2024-08-16T18:07:59.983250Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] WorkingDir: '/coh_labs/dits/rayyan/Projects/GATK-pipeline/GATK_somatic'
[2024-08-16T18:07:59.983956Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] ProcessCmdLine: '/coh_labs/dits/rayyan/Data/C083-000002/AnalysisData_TumorDNA/runWorkflow.py --mode local --jobs 8'
[2024-08-16T18:07:59.984763Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] [RunParameters] mode: local
[2024-08-16T18:07:59.985526Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] [RunParameters] nCores: 8
[2024-08-16T18:07:59.986313Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] [RunParameters] memMb: 515437
[2024-08-16T18:07:59.987026Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] [RunParameters] dataDir: /coh_labs/dits/rayyan/Data/C083-000002/AnalysisData_TumorDNA/workspace/pyflow.data
[2024-08-16T18:07:59.987808Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] [RunParameters] isDryRun: False
[2024-08-16T18:07:59.988580Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] [RunParameters] isContinue: False
[2024-08-16T18:07:59.989348Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] [RunParameters] isForceContinue: True
[2024-08-16T18:07:59.990129Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] [RunParameters] mailTo: ''
[2024-08-16T18:07:59.991303Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskRunner:masterWorkflow] Starting task specification for master workflow
[2024-08-16T18:07:59.992280Z] [g-c-1-4-05.cm.cluster] [2114669_1] [StrelkaSomaticWorkflow] Initiating Strelka somatic workflow version: 2.9.10
[2024-08-16T18:08:01.501902Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Launching command task: 'getChromDepth_sample000_estimateChromDepth_321_chr15_GL383554v1_alt' from master workflow
[2024-08-16T18:08:01.502897Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Launching command task: 'getChromDepth_sample000_estimateChromDepth_048_chr14_KI270723v1_random_to_049_chr14_KI270724v1_random' from master workflow
[2024-08-16T18:08:01.510830Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskRunner:getChromDepth_sample000_estimateChromDepth_048_chr14_KI270723v1_random_to_049_chr14_KI270724v1_random] Task initiated on local node
[2024-08-16T18:08:01.511895Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskRunner:getChromDepth_sample000_estimateChromDepth_321_chr15_GL383554v1_alt] Task initiated on local node
[2024-08-16T18:08:01.513758Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Completed command task: 'getChromDepth_sample000_estimateChromDepth_034_chr2_KI270715v1_random' launched from master workflow
[2024-08-16T18:08:01.517946Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Launching command task: 'getChromDepth_sample000_estimateChromDepth_325_chr16_KI270854v1_alt_to_326_chr16_KI270856v1_alt' from master workflow
[2024-08-16T18:08:01.527073Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskRunner:getChromDepth_sample000_estimateChromDepth_325_chr16_KI270854v1_alt_to_326_chr16_KI270856v1_alt] Task initiated on local node
[2024-08-16T18:08:01.582566Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Completed command task: 'getChromDepth_sample000_estimateChromDepth_321_chr15_GL383554v1_alt' launched from master workflow
[2024-08-16T18:08:01.586816Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Launching command task: 'getChromDepth_sample000_estimateChromDepth_357_chr19_GL383574v1_alt_to_358_chr19_KI270866v1_alt' from master workflow
[2024-08-16T18:08:01.593396Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskRunner:getChromDepth_sample000_estimateChromDepth_357_chr19_GL383574v1_alt_to_358_chr19_KI270866v1_alt] Task initiated on local node
[2024-08-16T18:08:01.651548Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Completed command task: 'getChromDepth_sample000_estimateChromDepth_048_chr14_KI270723v1_random_to_049_chr14_KI270724v1_random' launched from master workflow
[2024-08-16T18:08:01.652569Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Completed command task: 'getChromDepth_sample000_estimateChromDepth_325_chr16_KI270854v1_alt_to_326_chr16_KI270856v1_alt' launched from master workflow
[2024-08-16T18:08:01.656859Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Launching command task: 'getChromDepth_sample000_estimateChromDepth_038_chr5_GL000208v1_random_to_040_chr9_KI270718v1_random' from master workflow
[2024-08-16T18:08:01.657990Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Launching command task: 'getChromDepth_sample000_estimateChromDepth_168_chrUn_GL000195v1' from master workflow
[2024-08-16T18:08:01.665284Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskRunner:getChromDepth_sample000_estimateChromDepth_168_chrUn_GL000195v1] Task initiated on local node
[2024-08-16T18:08:01.669028Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskRunner:getChromDepth_sample000_estimateChromDepth_038_chr5_GL000208v1_random_to_040_chr9_KI270718v1_random] Task initiated on local node
[2024-08-16T18:08:01.690874Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Completed command task: 'getChromDepth_sample000_estimateChromDepth_357_chr19_GL383574v1_alt_to_358_chr19_KI270866v1_alt' launched from master workflow
[2024-08-16T18:08:01.695057Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Launching command task: 'getChromDepth_sample000_estimateChromDepth_334_chr17_KI270857v1_alt' from master workflow
[2024-08-16T18:08:01.706658Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskRunner:getChromDepth_sample000_estimateChromDepth_334_chr17_KI270857v1_alt] Task initiated on local node
[2024-08-16T18:08:01.761183Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Completed command task: 'getChromDepth_sample000_estimateChromDepth_168_chrUn_GL000195v1' launched from master workflow
[2024-08-16T18:08:01.765592Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Launching command task: 'getChromDepth_sample000_estimateChromDepth_319_chr15_KI270851v1_alt' from master workflow
[2024-08-16T18:08:01.772315Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskRunner:getChromDepth_sample000_estimateChromDepth_319_chr15_KI270851v1_alt] Task initiated on local node
[2024-08-16T18:08:01.830414Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Completed command task: 'getChromDepth_sample000_estimateChromDepth_038_chr5_GL000208v1_random_to_040_chr9_KI270718v1_random' launched from master workflow
[2024-08-16T18:08:01.834660Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Launching command task: 'getChromDepth_sample000_estimateChromDepth_200_chr1_GL383520v2_alt' from master workflow
[2024-08-16T18:08:01.847447Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskRunner:getChromDepth_sample000_estimateChromDepth_200_chr1_GL383520v2_alt] Task initiated on local node
[2024-08-16T18:08:01.867531Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Completed command task: 'getChromDepth_sample000_estimateChromDepth_319_chr15_KI270851v1_alt' launched from master workflow
[2024-08-16T18:08:01.868390Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Completed command task: 'getChromDepth_sample000_estimateChromDepth_334_chr17_KI270857v1_alt' launched from master workflow
[2024-08-16T18:08:01.872533Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Launching command task: 'getChromDepth_sample000_estimateChromDepth_333_chr17_KI270861v1_alt' from master workflow
[2024-08-16T18:08:01.873533Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Launching command task: 'getChromDepth_sample000_estimateChromDepth_406_chr15_KI270905v1_alt' from master workflow
[2024-08-16T18:08:01.879488Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskRunner:getChromDepth_sample000_estimateChromDepth_333_chr17_KI270861v1_alt] Task initiated on local node
[2024-08-16T18:08:01.885061Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskRunner:getChromDepth_sample000_estimateChromDepth_406_chr15_KI270905v1_alt] Task initiated on local node
[2024-08-16T18:08:01.906113Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Completed command task: 'getChromDepth_sample000_estimateChromDepth_200_chr1_GL383520v2_alt' launched from master workflow
[2024-08-16T18:08:01.910478Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Launching command task: 'getChromDepth_sample000_estimateChromDepth_340_chr17_KI270858v1_alt' from master workflow
[2024-08-16T18:08:01.917032Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskRunner:getChromDepth_sample000_estimateChromDepth_340_chr17_KI270858v1_alt] Task initiated on local node
[2024-08-16T18:08:01.975426Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Completed command task: 'getChromDepth_sample000_estimateChromDepth_333_chr17_KI270861v1_alt' launched from master workflow
[2024-08-16T18:08:01.979662Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Launching command task: 'getChromDepth_sample000_estimateChromDepth_286_chr10_KI270825v1_alt' from master workflow
[2024-08-16T18:08:01.986373Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskRunner:getChromDepth_sample000_estimateChromDepth_286_chr10_KI270825v1_alt] Task initiated on local node
[2024-08-16T18:08:01.996715Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Completed command task: 'getChromDepth_sample000_estimateChromDepth_340_chr17_KI270858v1_alt' launched from master workflow
[2024-08-16T18:08:02.000980Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Launching command task: 'getChromDepth_sample000_estimateChromDepth_469_chrUn_KN707619v1_decoy_to_534_chrUn_KN707684v1_decoy' from master workflow
[2024-08-16T18:08:02.009550Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskRunner:getChromDepth_sample000_estimateChromDepth_469_chrUn_KN707619v1_decoy_to_534_chrUn_KN707684v1_decoy] Task initiated on local node
[2024-08-16T18:08:02.065703Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Completed command task: 'getChromDepth_sample000_estimateChromDepth_286_chr10_KI270825v1_alt' launched from master workflow
[2024-08-16T18:08:02.069958Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Launching command task: 'getChromDepth_sample000_estimateChromDepth_301_chr12_GL383550v2_alt' from master workflow
[2024-08-16T18:08:02.080812Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskRunner:getChromDepth_sample000_estimateChromDepth_301_chr12_GL383550v2_alt] Task initiated on local node
[2024-08-16T18:08:02.138728Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Completed command task: 'getChromDepth_sample000_estimateChromDepth_406_chr15_KI270905v1_alt' launched from master workflow
[2024-08-16T18:08:02.139621Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Completed command task: 'getChromDepth_sample000_estimateChromDepth_301_chr12_GL383550v2_alt' launched from master workflow
[2024-08-16T18:08:02.143712Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Launching command task: 'getChromDepth_sample000_estimateChromDepth_197_chr1_KI270765v1_alt' from master workflow
[2024-08-16T18:08:02.144792Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Launching command task: 'getChromDepth_sample000_estimateChromDepth_417_chr19_KI270914v1_alt' from master workflow
[2024-08-16T18:08:02.150515Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskRunner:getChromDepth_sample000_estimateChromDepth_197_chr1_KI270765v1_alt] Task initiated on local node
[2024-08-16T18:08:02.151494Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskRunner:getChromDepth_sample000_estimateChromDepth_417_chr19_KI270914v1_alt] Task initiated on local node
[2024-08-16T18:08:02.259854Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Completed command task: 'getChromDepth_sample000_estimateChromDepth_197_chr1_KI270765v1_alt' launched from master workflow
[2024-08-16T18:08:02.260939Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Completed command task: 'getChromDepth_sample000_estimateChromDepth_417_chr19_KI270914v1_alt' launched from master workflow
[2024-08-16T18:08:02.265227Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Launching command task: 'getChromDepth_sample000_estimateChromDepth_289_chr11_KI270831v1_alt' from master workflow
[2024-08-16T18:08:02.266136Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Launching command task: 'getChromDepth_sample000_estimateChromDepth_362_chr20_KI270869v1_alt_to_363_chr20_KI270871v1_alt' from master workflow
[2024-08-16T18:08:02.271700Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskRunner:getChromDepth_sample000_estimateChromDepth_289_chr11_KI270831v1_alt] Task initiated on local node
[2024-08-16T18:08:02.276567Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskRunner:getChromDepth_sample000_estimateChromDepth_362_chr20_KI270869v1_alt_to_363_chr20_KI270871v1_alt] Task initiated on local node
[2024-08-16T18:08:02.381228Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Completed command task: 'getChromDepth_sample000_estimateChromDepth_289_chr11_KI270831v1_alt' launched from master workflow
[2024-08-16T18:08:02.385495Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Launching command task: 'getChromDepth_sample000_estimateChromDepth_452_chr6_KI270758v1_alt' from master workflow
[2024-08-16T18:08:02.392104Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskRunner:getChromDepth_sample000_estimateChromDepth_452_chr6_KI270758v1_alt] Task initiated on local node
[2024-08-16T18:08:02.418174Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Completed command task: 'getChromDepth_sample000_estimateChromDepth_362_chr20_KI270869v1_alt_to_363_chr20_KI270871v1_alt' launched from master workflow
[2024-08-16T18:08:02.422373Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Launching command task: 'getChromDepth_sample000_estimateChromDepth_941_chrUn_JTFH01000099v1_decoy_to_1003_chrUn_JTFH01000161v1_decoy' from master workflow
[2024-08-16T18:08:02.428738Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskRunner:getChromDepth_sample000_estimateChromDepth_941_chrUn_JTFH01000099v1_decoy_to_1003_chrUn_JTFH01000161v1_decoy] Task initiated on local node
[2024-08-16T18:08:02.487041Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Completed command task: 'getChromDepth_sample000_estimateChromDepth_452_chr6_KI270758v1_alt' launched from master workflow
[2024-08-16T18:08:02.491304Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Launching command task: 'getChromDepth_sample000_estimateChromDepth_262_chr7_KI270808v1_alt' from master workflow
[2024-08-16T18:08:02.497664Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskRunner:getChromDepth_sample000_estimateChromDepth_262_chr7_KI270808v1_alt] Task initiated on local node
[2024-08-16T18:08:02.556103Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Completed command task: 'getChromDepth_sample000_estimateChromDepth_262_chr7_KI270808v1_alt' launched from master workflow
[2024-08-16T18:08:02.560627Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Launching command task: 'getChromDepth_sample000_estimateChromDepth_412_chr18_KI270912v1_alt' from master workflow
[2024-08-16T18:08:02.567240Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskRunner:getChromDepth_sample000_estimateChromDepth_412_chr18_KI270912v1_alt] Task initiated on local node
[2024-08-16T18:08:02.775673Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Completed command task: 'getChromDepth_sample000_estimateChromDepth_412_chr18_KI270912v1_alt' launched from master workflow
[2024-08-16T18:08:02.780410Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Launching command task: 'getChromDepth_sample000_estimateChromDepth_836_chrUn_KN707986v1_decoy_to_858_chrUn_JTFH01000016v1_decoy' from master workflow
[2024-08-16T18:08:02.789991Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskRunner:getChromDepth_sample000_estimateChromDepth_836_chrUn_KN707986v1_decoy_to_858_chrUn_JTFH01000016v1_decoy] Task initiated on local node
[2024-08-16T18:08:03.547376Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Completed command task: 'getChromDepth_sample000_estimateChromDepth_836_chrUn_KN707986v1_decoy_to_858_chrUn_JTFH01000016v1_decoy' launched from master workflow
[2024-08-16T18:08:03.551653Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Launching command task: 'getChromDepth_sample000_estimateChromDepth_259_chr7_KI270806v1_alt' from master workflow
[2024-08-16T18:08:03.558779Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskRunner:getChromDepth_sample000_estimateChromDepth_259_chr7_KI270806v1_alt] Task initiated on local node
[2024-08-16T18:08:03.666657Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Completed command task: 'getChromDepth_sample000_estimateChromDepth_259_chr7_KI270806v1_alt' launched from master workflow
[2024-08-16T18:08:03.670795Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Launching command task: 'getChromDepth_sample000_estimateChromDepth_2147_chrUn_JTFH01001305v1_decoy_to_2244_chrUn_JTFH01001402v1_decoy' from master workflow
[2024-08-16T18:08:03.677532Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskRunner:getChromDepth_sample000_estimateChromDepth_2147_chrUn_JTFH01001305v1_decoy_to_2244_chrUn_JTFH01001402v1_decoy] Task initiated on local node
[2024-08-16T18:08:04.086023Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Completed command task: 'getChromDepth_sample000_estimateChromDepth_469_chrUn_KN707619v1_decoy_to_534_chrUn_KN707684v1_decoy' launched from master workflow
[2024-08-16T18:08:04.090211Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Launching command task: 'getChromDepth_sample000_estimateChromDepth_292_chr11_JH159136v1_alt' from master workflow
[2024-08-16T18:08:04.097147Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskRunner:getChromDepth_sample000_estimateChromDepth_292_chr11_JH159136v1_alt] Task initiated on local node
[2024-08-16T18:08:04.205148Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Completed command task: 'getChromDepth_sample000_estimateChromDepth_292_chr11_JH159136v1_alt' launched from master workflow
[2024-08-16T18:08:04.209830Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Launching command task: 'getChromDepth_sample000_estimateChromDepth_389_chr19_KI270890v1_alt' from master workflow
[2024-08-16T18:08:04.216415Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskRunner:getChromDepth_sample000_estimateChromDepth_389_chr19_KI270890v1_alt] Task initiated on local node
[2024-08-16T18:08:04.324648Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Completed command task: 'getChromDepth_sample000_estimateChromDepth_389_chr19_KI270890v1_alt' launched from master workflow
[2024-08-16T18:08:04.328843Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Launching command task: 'getChromDepth_sample000_estimateChromDepth_282_chr9_KI270823v1_alt' from master workflow
[2024-08-16T18:08:04.335286Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskRunner:getChromDepth_sample000_estimateChromDepth_282_chr9_KI270823v1_alt] Task initiated on local node
[2024-08-16T18:08:04.393577Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Completed command task: 'getChromDepth_sample000_estimateChromDepth_941_chrUn_JTFH01000099v1_decoy_to_1003_chrUn_JTFH01000161v1_decoy' launched from master workflow
[2024-08-16T18:08:04.397747Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Launching command task: 'getChromDepth_sample000_estimateChromDepth_431_chr11_KI270927v1_alt' from master workflow
[2024-08-16T18:08:04.404968Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskRunner:getChromDepth_sample000_estimateChromDepth_431_chr11_KI270927v1_alt] Task initiated on local node
[2024-08-16T18:08:04.414638Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Completed command task: 'getChromDepth_sample000_estimateChromDepth_282_chr9_KI270823v1_alt' launched from master workflow
[2024-08-16T18:08:04.418596Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Launching command task: 'getChromDepth_sample000_estimateChromDepth_424_chr19_KI270921v1_alt' from master workflow
[2024-08-16T18:08:04.425130Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskRunner:getChromDepth_sample000_estimateChromDepth_424_chr19_KI270921v1_alt] Task initiated on local node
[2024-08-16T18:08:04.533554Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Completed command task: 'getChromDepth_sample000_estimateChromDepth_424_chr19_KI270921v1_alt' launched from master workflow
[2024-08-16T18:08:04.537760Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Launching command task: 'getChromDepth_sample000_estimateChromDepth_324_chr15_KI270850v1_alt' from master workflow
[2024-08-16T18:08:04.542050Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Completed command task: 'getChromDepth_sample000_estimateChromDepth_1719_chrUn_JTFH01000877v1_decoy_to_1832_chrUn_JTFH01000990v1_decoy' launched from master workflow
[2024-08-16T18:08:04.546520Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Launching command task: 'getChromDepth_sample000_estimateChromDepth_265_chr8_KI270818v1_alt' from master workflow
[2024-08-16T18:08:04.553499Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskRunner:getChromDepth_sample000_estimateChromDepth_324_chr15_KI270850v1_alt] Task initiated on local node
[2024-08-16T18:08:04.554453Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskRunner:getChromDepth_sample000_estimateChromDepth_265_chr8_KI270818v1_alt] Task initiated on local node
[2024-08-16T18:08:04.579117Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Completed command task: 'getChromDepth_sample000_estimateChromDepth_431_chr11_KI270927v1_alt' launched from master workflow
[2024-08-16T18:08:04.582862Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Launching command task: 'getChromDepth_sample000_estimateChromDepth_207_chr2_KI270774v1_alt' from master workflow
[2024-08-16T18:08:04.589512Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskRunner:getChromDepth_sample000_estimateChromDepth_207_chr2_KI270774v1_alt] Task initiated on local node
[2024-08-16T18:08:04.615394Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Completed command task: 'getChromDepth_sample000_estimateChromDepth_265_chr8_KI270818v1_alt' launched from master workflow
[2024-08-16T18:08:04.619257Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Launching command task: 'getChromDepth_sample000_estimateChromDepth_002_chr3' from master workflow
[2024-08-16T18:08:04.625695Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskRunner:getChromDepth_sample000_estimateChromDepth_002_chr3] Task initiated on local node
[2024-08-16T18:08:04.683949Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Completed command task: 'getChromDepth_sample000_estimateChromDepth_324_chr15_KI270850v1_alt' launched from master workflow
[2024-08-16T18:08:04.684916Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Completed command task: 'getChromDepth_sample000_estimateChromDepth_207_chr2_KI270774v1_alt' launched from master workflow
[2024-08-16T18:08:04.689046Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Launching command task: 'getChromDepth_sample000_estimateChromDepth_023_chrY' from master workflow
[2024-08-16T18:08:04.689963Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Launching command task: 'getChromDepth_sample000_estimateChromDepth_054_chr17_GL000205v2_random' from master workflow
[2024-08-16T18:08:04.696018Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskRunner:getChromDepth_sample000_estimateChromDepth_023_chrY] Task initiated on local node
[2024-08-16T18:08:04.697145Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskRunner:getChromDepth_sample000_estimateChromDepth_054_chr17_GL000205v2_random] Task initiated on local node
[2024-08-16T18:08:04.855231Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Completed command task: 'getChromDepth_sample000_estimateChromDepth_054_chr17_GL000205v2_random' launched from master workflow
[2024-08-16T18:08:04.859369Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Launching command task: 'getChromDepth_sample000_estimateChromDepth_024_chrM_to_025_chr1_KI270706v1_random' from master workflow
[2024-08-16T18:08:04.866733Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskRunner:getChromDepth_sample000_estimateChromDepth_024_chrM_to_025_chr1_KI270706v1_random] Task initiated on local node
[2024-08-16T18:08:05.124480Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Completed command task: 'getChromDepth_sample000_estimateChromDepth_024_chrM_to_025_chr1_KI270706v1_random' launched from master workflow
[2024-08-16T18:08:05.128855Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Launching command task: 'getChromDepth_sample000_estimateChromDepth_232_chr4_KI270788v1_alt' from master workflow
[2024-08-16T18:08:05.135592Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskRunner:getChromDepth_sample000_estimateChromDepth_232_chr4_KI270788v1_alt] Task initiated on local node
[2024-08-16T18:08:05.196528Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Completed command task: 'getChromDepth_sample000_estimateChromDepth_232_chr4_KI270788v1_alt' launched from master workflow
[2024-08-16T18:08:05.200548Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Launching command task: 'getChromDepth_sample000_estimateChromDepth_216_chr2_KI270776v1_alt' from master workflow
[2024-08-16T18:08:05.206870Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskRunner:getChromDepth_sample000_estimateChromDepth_216_chr2_KI270776v1_alt] Task initiated on local node
[2024-08-16T18:08:05.315502Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Completed command task: 'getChromDepth_sample000_estimateChromDepth_216_chr2_KI270776v1_alt' launched from master workflow
[2024-08-16T18:08:05.319735Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Launching command task: 'getChromDepth_sample000_estimateChromDepth_264_chr7_KI270805v1_alt' from master workflow
[2024-08-16T18:08:05.326377Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskRunner:getChromDepth_sample000_estimateChromDepth_264_chr7_KI270805v1_alt] Task initiated on local node
